Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
108.0,Sola Otra Vez,El Polaco,22560.0,https://open.spotify.com/track/1zwH02KhFWC4wOtiZ1We1g,2017-01-01,ar,0.669,0.902,0.0334,104.971,0.94,0.0454,55.0,1
109.0,Curiosidad,Rombai,22396.0,https://open.spotify.com/track/4PCVVIrUDldF5r7RXtOB5W,2017-01-01,ar,0.758,0.848,0.057,113.973,0.885,0.0605,67.0,1
110.0,Te Amo y Odio,Marama,22073.0,https://open.spotify.com/track/5TA9pPL5ATRFcyI9rRBMQ0,2017-01-01,ar,0.715,0.736,0.0347,99.871,0.76,0.277,65.0,1
111.0,The Greatest,Sia,22060.0,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,2017-01-01,ar,0.6679999999999999,0.725,0.266,191.944,0.7290000000000001,0.0102,88.0,1
112.0,Ride,Twenty One Pilots,22015.0,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2017-01-01,ar,0.645,0.713,0.0393,74.98899999999998,0.5660000000000001,0.00835,84.0,1
113.0,Mi Tesoro (feat. Nicky Jam),Zion & Lennox,21803.0,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa,2017-01-01,ar,0.725,0.711,0.0335,93.003,0.477,0.0821,82.0,1
114.0,743,Miranda!,21584.0,https://open.spotify.com/track/08WLghN4UZFMGN532uvako,2017-01-01,ar,0.8490000000000001,0.759,0.0304,110.983,0.948,0.0951,79.0,1
115.0,Dame la Mano,Los Bonnitos,21405.0,https://open.spotify.com/track/2zrcunkMh2pG74NKLQagf7,2017-01-01,ar,0.741,0.907,0.0325,109.973,0.912,0.0901,52.0,1
116.0,Love Yourself,Justin Bieber,21354.0,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,2017-01-01,ar,0.609,0.378,0.438,100.418,0.515,0.835,91.0,1
117.0,Una historia,#TocoParaVos,21108.0,https://open.spotify.com/track/6Ol4gn2vFyn4dckha1fGaN,2017-01-01,ar,0.6829999999999999,0.5920000000000001,0.0419,104.952,0.909,0.098,55.0,1
118.0,La Llave,Agapornis,20952.0,https://open.spotify.com/track/1v78qANb9b176fgEzR2eaW,2017-01-01,ar,0.825,0.792,0.0666,119.994,0.914,0.0225,58.0,1
